Date,Home-team,Goals,Away-team
16-07-2022,CSKA Moscow,2 - 0,Ural
23-07-2022,CSKA Moscow,3 - 0,FK SOCHI
31-07-2022,Nizhny Novgorod,2 - 2,CSKA Moscow
06-08-2022,CSKA Moscow,4 - 1,Fakel Voronezh
13-08-2022,Zenit St Petersburg,2 - 1,CSKA Moscow
21-08-2022,CSKA Moscow,4 - 2,Terek Grozny
28-08-2022,Rostov,0 - 0,CSKA Moscow
04-09-2022,Krylya Samara,0 - 1,CSKA Moscow
10-09-2022,CSKA Moscow,4 - 1,Krasnodar
17-09-2022,Torpedo Moskva,1 - 0,CSKA Moscow
01-10-2022,FC Khimki,1 - 2,CSKA Moscow
08-10-2022,CSKA Moscow,1 - 1,Dinamo Moscow
16-10-2022,CSKA Moscow,2 - 2,Spartak M
23-10-2022,Gazovik Orenburg,2 - 2,CSKA Moscow
29-10-2022,Lokomotiv M,0 - 1,CSKA Moscow
05-11-2022,CSKA Moscow,0 - 1,Nizhny Novgorod
13-11-2022,Dinamo Moscow,2 - 1,CSKA Moscow
05-03-2023,FK SOCHI,2 - 0,CSKA Moscow
12-03-2023,CSKA Moscow,? - ?,Krylya Samara
17-07-2022,Dinamo Moscow,1 - 1,Rostov
24-07-2022,Dinamo Moscow,4 - 0,Torpedo Moskva
30-07-2022,Fakel Voronezh,3 - 3,Dinamo Moscow
07-08-2022,Krylya Samara,0 - 2,Dinamo Moscow
13-08-2022,Dinamo Moscow,0 - 0,Krasnodar
20-08-2022,Dinamo Moscow,1 - 0,Spartak M
27-08-2022,Nizhny Novgorod,2 - 2,Dinamo Moscow
03-09-2022,Dinamo Moscow,2 - 1,Ural
09-09-2022,FK SOCHI,2 - 1,Dinamo Moscow
17-09-2022,Dinamo Moscow,0 - 2,Zenit St Petersburg
02-10-2022,Terek Grozny,2 - 1,Dinamo Moscow
08-10-2022,CSKA Moscow,1 - 1,Dinamo Moscow
15-10-2022,Dinamo Moscow,3 - 2,Gazovik Orenburg
22-10-2022,Lokomotiv M,1 - 3,Dinamo Moscow
29-10-2022,Dinamo Moscow,6 - 1,FC Khimki
06-11-2022,Rostov,2 - 1,Dinamo Moscow
13-11-2022,Dinamo Moscow,2 - 1,CSKA Moscow
05-03-2023,Dinamo Moscow,1 - 0,Krylya Samara
11-03-2023,Krasnodar,? - ?,Dinamo Moscow
15-07-2022,FC Khimki,1 - 1,Zenit St Petersburg
24-07-2022,FC Khimki,3 - 0,Nizhny Novgorod
31-07-2022,Rostov,1 - 0,FC Khimki
07-08-2022,Torpedo Moskva,1 - 3,FC Khimki
14-08-2022,FC Khimki,1 - 3,Terek Grozny
20-08-2022,FC Khimki,0 - 3,Lokomotiv M
26-08-2022,FK SOCHI,4 - 1,FC Khimki
03-09-2022,Gazovik Orenburg,3 - 1,FC Khimki
10-09-2022,FC Khimki,0 - 0,Krylya Samara
18-09-2022,Krasnodar,3 - 1,FC Khimki
01-10-2022,FC Khimki,1 - 2,CSKA Moscow
07-10-2022,Ural,2 - 1,FC Khimki
15-10-2022,FC Khimki,0 - 0,Fakel Voronezh
23-10-2022,Spartak M,5 - 0,FC Khimki
29-10-2022,Dinamo Moscow,6 - 1,FC Khimki
04-11-2022,FC Khimki,2 - 0,Gazovik Orenburg
13-11-2022,FC Khimki,0 - 2,FK SOCHI
03-03-2023,Fakel Voronezh,1 - 1,FC Khimki
12-03-2023,Zenit St Petersburg,? - ?,FC Khimki
17-07-2022,Torpedo Moskva,1 - 3,FK SOCHI
23-07-2022,CSKA Moscow,3 - 0,FK SOCHI
30-07-2022,FK SOCHI,2 - 1,Terek Grozny
07-08-2022,FK SOCHI,2 - 1,Nizhny Novgorod
14-08-2022,Spartak M,3 - 0,FK SOCHI
20-08-2022,Rostov,2 - 2,FK SOCHI
26-08-2022,FK SOCHI,4 - 1,FC Khimki
03-09-2022,Krasnodar,2 - 1,FK SOCHI
09-09-2022,FK SOCHI,2 - 1,Dinamo Moscow
18-09-2022,FK SOCHI,1 - 1,Fakel Voronezh
01-10-2022,Gazovik Orenburg,4 - 1,FK SOCHI
08-10-2022,FK SOCHI,4 - 0,Lokomotiv M
16-10-2022,Krylya Samara,2 - 0,FK SOCHI
24-10-2022,Zenit St Petersburg,7 - 0,FK SOCHI
30-10-2022,FK SOCHI,2 - 2,Ural
05-11-2022,FK SOCHI,1 - 1,Spartak M
13-11-2022,FC Khimki,0 - 2,FK SOCHI
05-03-2023,FK SOCHI,2 - 0,CSKA Moscow
10-03-2023,FK SOCHI,0 - 4,Gazovik Orenburg
10-03-2023,FK SOCHI,? - ?,Gazovik Orenburg
17-07-2022,Krasnodar,2 - 2,Fakel Voronezh
24-07-2022,Terek Grozny,2 - 1,Fakel Voronezh
30-07-2022,Fakel Voronezh,3 - 3,Dinamo Moscow
06-08-2022,CSKA Moscow,4 - 1,Fakel Voronezh
12-08-2022,Fakel Voronezh,0 - 0,Ural
19-08-2022,Krylya Samara,1 - 1,Fakel Voronezh
27-08-2022,Fakel Voronezh,1 - 4,Spartak M
03-09-2022,Nizhny Novgorod,3 - 1,Fakel Voronezh
11-09-2022,Fakel Voronezh,2 - 0,Lokomotiv M
18-09-2022,FK SOCHI,1 - 1,Fakel Voronezh
02-10-2022,Fakel Voronezh,2 - 2,Torpedo Moskva
08-10-2022,Fakel Voronezh,1 - 1,Zenit St Petersburg
15-10-2022,FC Khimki,0 - 0,Fakel Voronezh
22-10-2022,Fakel Voronezh,1 - 1,Rostov
28-10-2022,Gazovik Orenburg,4 - 1,Fakel Voronezh
05-11-2022,Fakel Voronezh,3 - 3,Krasnodar
12-11-2022,Ural,2 - 0,Fakel Voronezh
03-03-2023,Fakel Voronezh,1 - 1,FC Khimki
11-03-2023,Spartak M,? - ?,Fakel Voronezh
16-07-2022,Gazovik Orenburg,2 - 4,Krylya Samara
23-07-2022,Gazovik Orenburg,3 - 0,Ural
31-07-2022,Spartak M,4 - 1,Gazovik Orenburg
07-08-2022,Rostov,2 - 1,Gazovik Orenburg
14-08-2022,Gazovik Orenburg,1 - 0,Torpedo Moskva
21-08-2022,Krasnodar,2 - 0,Gazovik Orenburg
28-08-2022,Lokomotiv M,5 - 1,Gazovik Orenburg
03-09-2022,Gazovik Orenburg,3 - 1,FC Khimki
11-09-2022,Zenit St Petersburg,8 - 0,Gazovik Orenburg
18-09-2022,Nizhny Novgorod,0 - 2,Gazovik Orenburg
01-10-2022,Gazovik Orenburg,4 - 1,FK SOCHI
09-10-2022,Gazovik Orenburg,2 - 1,Terek Grozny
15-10-2022,Dinamo Moscow,3 - 2,Gazovik Orenburg
23-10-2022,Gazovik Orenburg,2 - 2,CSKA Moscow
28-10-2022,Gazovik Orenburg,4 - 1,Fakel Voronezh
04-11-2022,FC Khimki,2 - 0,Gazovik Orenburg
13-11-2022,Gazovik Orenburg,5 - 1,Krasnodar
04-03-2023,Terek Grozny,3 - 1,Gazovik Orenburg
10-03-2023,FK SOCHI,0 - 4,Gazovik Orenburg
10-03-2023,FK SOCHI,? - ?,Gazovik Orenburg
